;month;day;hour;minute;avg_generation;ano_1
281;1;12;17;0;40.85027554;40.85027554
282;1;12;18;0;50.85399814;50.85399814
283;1;12;19;0;-0.650685362;-0.650685362
284;1;12;20;0;-0.650685362;-0.650685362
285;1;12;21;0;-0.650685362;-0.650685362
286;1;12;22;0;-0.650685362;-0.650685362
287;1;12;23;0;-0.650685362;-0.650685362
288;1;13;0;0;-0.650685362;-0.650685362
289;1;13;1;0;-0.650685362;-0.650685362
290;1;13;2;0;-0.650685362;-0.650685362
291;1;13;3;0;-0.650685362;-0.650685362
292;1;13;4;0;-0.650685362;-0.650685362
293;1;13;5;0;-0.650685362;-0.650685362
294;1;13;6;0;21.59970392;21.59970392
295;1;13;7;0;42.53403688;42.53403688
296;1;13;8;0;103.2172248;103.2172248
297;1;13;9;0;265.1147467;265.1147467
298;1;13;10;0;249.9094951;249.9094951
299;1;13;11;0;490.4653881;490.4653881
300;1;13;12;0;495.3511766;495.3511766
301;1;13;13;0;576.8054613;576.8054613
302;1;13;14;0;501.4852417;501.4852417
303;1;13;15;0;555.9349543;555.9349543
304;1;13;16;0;538.3856538;538.3856538
305;1;13;17;0;434.4341486;434.4341486
306;1;13;18;0;118.2530272;118.2530272
307;1;13;19;0;-0.650685362;-0.650685362
308;1;13;20;0;-0.650685362;-0.650685362
309;1;13;21;0;-0.650685362;-0.650685362
310;1;13;22;0;-0.650685362;-0.650685362
311;1;13;23;0;-0.650685362;-0.650685362
312;1;14;0;0;-0.650685362;-0.650685362
313;1;14;1;0;-0.650685362;-0.650685362
314;1;14;2;0;-0.650685362;-0.650685362
315;1;14;3;0;-0.650685362;-0.650685362
316;1;14;4;0;-0.650685362;-0.650685362
317;1;14;5;0;-0.650685362;-0.650685362
318;1;14;6;0;66.56533844;66.56533844
319;1;14;7;0;373.1330354;373.1330354
320;1;14;8;0;529.7267939;529.7267939
321;1;14;9;0;576.8054613;576.8054613
322;1;14;10;0;576.8054613;576.8054613
323;1;14;11;0;576.8054613;576.8054613
324;1;14;12;0;576.8054613;576.8054613
325;1;14;13;0;576.8054613;576.8054613
326;1;14;14;0;576.8054613;576.8054613
327;1;14;15;0;544.7061131;544.7061131
328;1;14;16;0;576.8054613;576.8054613
329;1;14;17;0;459.8797871;459.8797871
330;1;14;18;0;120.2299359;120.2299359
331;1;14;19;0;-0.650685362;-0.650685362
332;1;14;20;0;-0.650685362;-0.650685362
333;1;14;21;0;-0.650685362;-0.650685362
334;1;14;22;0;-0.650685362;-0.650685362
335;1;14;23;0;-0.650685362;-0.650685362
336;1;15;0;0;-0.650685362;-0.650685362
337;1;15;1;0;-0.650685362;-0.650685362
338;1;15;2;0;-0.650685362;-0.650685362
339;1;15;3;0;-0.650685362;-0.650685362
340;1;15;4;0;-0.650685362;-0.650685362
341;1;15;5;0;-0.650685362;-0.650685362
342;1;15;6;0;103.8102974;103.8102974
343;1;15;7;0;312.5210162;312.5210162
344;1;15;8;0;500.7848512;500.7848512
345;1;15;9;0;576.8054613;576.8054613
346;1;15;10;0;576.8054613;576.8054613
347;1;15;11;0;576.8054613;576.8054613
348;1;15;12;0;576.8054613;576.8054613
349;1;15;13;0;576.8054613;576.8054613
350;1;15;14;0;576.8054613;576.8054613
351;1;15;15;0;576.8054613;576.8054613
352;1;15;16;0;224.9157214;224.9157214
353;1;15;17;0;198.5945948;198.5945948
354;1;15;18;0;71.85780532;71.85780532
355;1;15;19;0;-0.650685362;-0.650685362
356;1;15;20;0;-0.650685362;-0.650685362
357;1;15;21;0;-0.650685362;-0.650685362
358;1;15;22;0;-0.650685362;-0.650685362
359;1;15;23;0;-0.650685362;-0.650685362
360;1;16;0;0;-0.650685362;-0.650685362
361;1;16;1;0;-0.650685362;-0.650685362
362;1;16;2;0;-0.650685362;-0.650685362
363;1;16;3;0;-0.650685362;-0.650685362
364;1;16;4;0;-0.650685362;-0.650685362
365;1;16;5;0;-0.650685362;-0.650685362
366;1;16;6;0;8.539115711;8.539115711
367;1;16;7;0;40.32102885;40.32102885
368;1;16;8;0;164.9363129;164.9363129
369;1;16;9;0;377.4257514;377.4257514
370;1;16;10;0;289.1821975;289.1821975
371;1;16;11;0;322.4789875;322.4789875
372;1;16;12;0;123.0879809;123.0879809
373;1;16;13;0;83.59499439;83.59499439
374;1;16;14;0;102.0536729;102.0536729
375;1;16;15;0;78.91819336;78.91819336
376;1;16;16;0;56.91802422;56.91802422
377;1;16;17;0;64.09702678;64.09702678
378;1;16;18;0;18.69873169;18.69873169
379;1;16;19;0;-0.650685362;-0.650685362
380;1;16;20;0;-0.650685362;-0.650685362
381;1;16;21;0;-0.650685362;-0.650685362
382;1;16;22;0;-0.650685362;-0.650685362
383;1;16;23;0;-0.650685362;-0.650685362
384;1;17;0;0;-0.650685362;-0.650685362
385;1;17;1;0;-0.650685362;-0.650685362
386;1;17;2;0;-0.650685362;-0.650685362
387;1;17;3;0;-0.650685362;-0.650685362
388;1;17;4;0;-0.650685362;-0.650685362
389;1;17;5;0;-0.650685362;-0.650685362
390;1;17;6;0;55.37264649;55.37264649
391;1;17;7;0;313.1762202;313.1762202
392;1;17;8;0;272.6382962;272.6382962
393;1;17;9;0;343.7335796;343.7335796
394;1;17;10;0;103.1720384;103.1720384
395;1;17;11;0;136.9319898;136.9319898
396;1;17;12;0;217.5955111;217.5955111
397;1;17;13;0;257.4217479;257.4217479
398;1;17;14;0;370.3710116;370.3710116
399;1;17;15;0;462.2916156;462.2916156
400;1;17;16;0;576.8054613;576.8054613
401;1;17;17;0;428.6502787;428.6502787
402;1;17;18;0;102.9517542;102.9517542
403;1;17;19;0;-0.650685362;-0.650685362
404;1;17;20;0;-0.650685362;-0.650685362
405;1;17;21;0;-0.650685362;-0.650685362
406;1;17;22;0;-0.650685362;-0.650685362
407;1;17;23;0;-0.650685362;-0.650685362
408;1;18;0;0;-0.650685362;-0.650685362
409;1;18;1;0;-0.650685362;-0.650685362
410;1;18;2;0;-0.650685362;-0.650685362
411;1;18;3;0;-0.650685362;-0.650685362
412;1;18;4;0;-0.650685362;-0.650685362
413;1;18;5;0;-0.650685362;-0.650685362
414;1;18;6;0;52.73940417;52.73940417
415;1;18;7;0;192.3701567;192.3701567
416;1;18;8;0;299.1853553;299.1853553
417;1;18;9;0;576.8054613;576.8054613
418;1;18;10;0;474.4863178;474.4863178
419;1;18;11;0;384.5821607;384.5821607
420;1;18;12;0;563.718326;563.718326
421;1;18;13;0;576.8054613;576.8054613
422;1;18;14;0;322.9816871;322.9816871
423;1;18;15;0;30.75730963;30.75730963
424;1;18;16;0;28.35677769;28.35677769
425;1;18;17;0;58.10416941;58.10416941
426;1;18;18;0;13.91461275;13.91461275
427;1;18;19;0;-0.650685362;-0.650685362
428;1;18;20;0;-0.650685362;-0.650685362
429;1;18;21;0;-0.650685362;-0.650685362
430;1;18;22;0;-0.650685362;-0.650685362
431;1;18;23;0;-0.650685362;-0.650685362
432;1;19;0;0;-0.650685362;-0.650685362
433;1;19;1;0;-0.650685362;-0.650685362
434;1;19;2;0;-0.650685362;-0.650685362
435;1;19;3;0;-0.650685362;-0.650685362
436;1;19;4;0;-0.650685362;-0.650685362
437;1;19;5;0;-0.650685362;-0.650685362
438;1;19;6;0;91.13548882;91.13548882
439;1;19;7;0;243.4986627;243.4986627
440;1;19;8;0;507.4159677;507.4159677
441;1;19;9;0;576.8054613;576.8054613
442;1;19;10;0;565.0569756;565.0569756
443;1;19;11;0;576.8054613;576.8054613
444;1;19;12;0;576.8054613;576.8054613
445;1;19;13;0;576.8054613;576.8054613
446;1;19;14;0;576.8054613;576.8054613
447;1;19;15;0;576.8054613;576.8054613
448;1;19;16;0;506.5235346;506.5235346
449;1;19;17;0;448.9728996;448.9728996
450;1;19;18;0;120.4784615;120.4784615
451;1;19;19;0;-0.650685362;-0.650685362
452;1;19;20;0;-0.650685362;-0.650685362
453;1;19;21;0;-0.650685362;-0.650685362
454;1;19;22;0;-0.650685362;-0.650685362
455;1;19;23;0;-0.650685362;-0.650685362
456;1;20;0;0;-0.650685362;-0.650685362
457;1;20;1;0;-0.650685362;-0.650685362
458;1;20;2;0;-0.650685362;-0.650685362
459;1;20;3;0;-0.650685362;-0.650685362
460;1;20;4;0;-0.650685362;-0.650685362
461;1;20;5;0;-0.650685362;-0.650685362
462;1;20;6;0;95.6710821;95.6710821
463;1;20;7;0;440.0203276;440.0203276
464;1;20;8;0;576.8054613;576.8054613
465;1;20;9;0;463.7093415;463.7093415
466;1;20;10;0;576.8054613;576.8054613
467;1;20;11;0;576.8054613;576.8054613
468;1;20;12;0;534.1042344;534.1042344
469;1;20;13;0;576.8054613;576.8054613
470;1;20;14;0;576.8054613;576.8054613
471;1;20;15;0;576.8054613;576.8054613
472;1;20;16;0;576.8054613;576.8054613
473;1;20;17;0;422.7590909;422.7590909
474;1;20;18;0;103.0534238;103.0534238
475;1;20;19;0;-0.650685362;-0.650685362
476;1;20;20;0;-0.650685362;-0.650685362
477;1;20;21;0;-0.650685362;-0.650685362
478;1;20;22;0;-0.650685362;-0.650685362
479;1;20;23;0;-0.650685362;-0.650685362
480;1;21;0;0;-0.650685362;-0.650685362
481;1;21;1;0;-0.650685362;-0.650685362
482;1;21;2;0;-0.650685362;-0.650685362
483;1;21;3;0;-0.650685362;-0.650685362
484;1;21;4;0;-0.650685362;-0.650685362
485;1;21;5;0;-0.650685362;-0.650685362
486;1;21;6;0;19.37652894;19.37652894
487;1;21;7;0;171.0816747;171.0816747
488;1;21;8;0;265.6682812;265.6682812
489;1;21;9;0;276.0498757;276.0498757
490;1;21;10;0;466.2002464;466.2002464
491;1;21;11;0;506.43881;506.43881
492;1;21;12;0;536.7476437;536.7476437
493;1;21;13;0;576.8054613;576.8054613
494;1;21;14;0;576.8054613;576.8054613
495;1;21;15;0;576.8054613;576.8054613
496;1;21;16;0;471.8485569;471.8485569
497;1;21;17;0;318.1636783;318.1636783
498;1;21;18;0;61.36889284;61.36889284
499;1;21;19;0;-0.650685362;-0.650685362
500;1;21;20;0;-0.650685362;-0.650685362
501;1;21;21;0;-0.650685362;-0.650685362
502;1;21;22;0;-0.650685362;-0.650685362
503;1;21;23;0;-0.650685362;-0.650685362
504;1;22;0;0;-0.650685362;-0.650685362
505;1;22;1;0;-0.650685362;-0.650685362
506;1;22;2;0;-0.650685362;-0.650685362
507;1;22;3;0;-0.650685362;-0.650685362
508;1;22;4;0;-0.650685362;-0.650685362
509;1;22;5;0;-0.650685362;-0.650685362
510;1;22;6;0;37.78832645;37.78832645
511;1;22;7;0;73.82906566;73.82906566
512;1;22;8;0;244.4306339;244.4306339
513;1;22;9;0;350.5736836;350.5736836
514;1;22;10;0;387.1860318;387.1860318
515;1;22;11;0;576.8054613;576.8054613
516;1;22;12;0;576.8054613;576.8054613
517;1;22;13;0;576.8054613;576.8054613
518;1;22;14;0;576.8054613;576.8054613
519;1;22;15;0;537.6118352;537.6118352
520;1;22;16;0;424.9788769;424.9788769
521;1;22;17;0;339.7119826;339.7119826
522;1;22;18;0;88.76884675;88.76884675
523;1;22;19;0;-0.650685362;-0.650685362
524;1;22;20;0;-0.650685362;-0.650685362
525;1;22;21;0;-0.650685362;-0.650685362
526;1;22;22;0;-0.650685362;-0.650685362
527;1;22;23;0;-0.650685362;-0.650685362
528;1;23;0;0;-0.650685362;-0.650685362
529;1;23;1;0;-0.650685362;-0.650685362
530;1;23;2;0;-0.650685362;-0.650685362
531;1;23;3;0;-0.650685362;-0.650685362
532;1;23;4;0;-0.650685362;-0.650685362
533;1;23;5;0;-0.650685362;-0.650685362
534;1;23;6;0;74.02675652;74.02675652
535;1;23;7;0;382.0178278;382.0178278
536;1;23;8;0;344.7841654;344.7841654
537;1;23;9;0;460.2130374;460.2130374
538;1;23;10;0;576.8054613;576.8054613
539;1;23;11;0;576.8054613;576.8054613
540;1;23;12;0;576.8054613;576.8054613
541;1;23;13;0;576.8054613;576.8054613
542;1;23;14;0;576.8054613;576.8054613
543;1;23;15;0;495.249507;495.249507
544;1;23;16;0;105.7194264;105.7194264
545;1;23;17;0;45.8004548;45.8004548
546;1;23;18;0;21.08966149;21.08966149
547;1;23;19;0;-0.650685362;-0.650685362
548;1;23;20;0;-0.650685362;-0.650685362
549;1;23;21;0;-0.650685362;-0.650685362
550;1;23;22;0;-0.650685362;-0.650685362
551;1;23;23;0;-0.650685362;-0.650685362
552;1;24;0;0;-0.650685362;-0.650685362
553;1;24;1;0;-0.650685362;-0.650685362
554;1;24;2;0;-0.650685362;-0.650685362
555;1;24;3;0;-0.650685362;-0.650685362
556;1;24;4;0;-0.650685362;-0.650685362
557;1;24;5;0;-0.650685362;-0.650685362
558;1;24;6;0;23.96013285;23.96013285
559;1;24;7;0;122.3706455;122.3706455
560;1;24;8;0;316.0738035;316.0738035
561;1;24;9;0;577.200843;577.200843
562;1;24;10;0;576.8054613;576.8054613
563;1;24;11;0;576.8054613;576.8054613
564;1;24;12;0;576.8054613;576.8054613
565;1;24;13;0;576.8054613;576.8054613
566;1;24;14;0;576.8054613;576.8054613
567;1;24;15;0;538.1427764;538.1427764
568;1;24;16;0;384.915411;384.915411
569;1;24;17;0;374.3474222;374.3474222
570;1;24;18;0;94.18557645;94.18557645
571;1;24;19;0;-0.650685362;-0.650685362
572;1;24;20;0;-0.650685362;-0.650685362
573;1;24;21;0;-0.650685362;-0.650685362
574;1;24;22;0;-0.650685362;-0.650685362
575;1;24;23;0;-0.650685362;-0.650685362
576;1;25;0;0;-0.650685362;-0.650685362
577;1;25;1;0;-0.650685362;-0.650685362
578;1;25;2;0;-0.650685362;-0.650685362
579;1;25;3;0;-0.650685362;-0.650685362
580;1;25;4;0;-0.650685362;-0.650685362
581;1;25;5;0;-0.650685362;-0.650685362
582;1;25;6;0;44.61317995;44.61317995
583;1;25;7;0;355.7927224;355.7927224
584;1;25;8;0;576.8054613;576.8054613
585;1;25;9;0;576.8054613;576.8054613
586;1;25;10;0;576.8054613;576.8054613
587;1;25;11;0;576.8054613;576.8054613
