scenario,year,month,can_production_mwh,curtailment_cnf_mwh,curtailment_ene_mwh,curtailment_mwh,curtailment_pct,curtailment_cnf_pct,curtailment_ene_pct
central,2026,6,28486.0731223138,0.0,6920.54018934221,6920.54018934221,0.24294468948481324,0.0,0.24294468948481324
central,2026,7,31046.645237537,0.0,6624.75646675402,6624.75646675402,0.21338075067590062,0.0,0.21338075067590062
central,2026,8,33544.8185472619,0.0,10241.2746785235,10241.2746785235,0.3053012394177772,0.0,0.3053012394177772
central,2026,9,38941.0997285765,0.0,10160.1049442244,10160.1049442244,0.2609095535319081,0.0,0.2609095535319081
central,2026,10,42943.1050213623,0.0,8285.56980279459,8285.56980279459,0.19294296019519044,0.0,0.19294296019519044
central,2026,11,39600.2385631903,0.0,8672.10632792895,8672.10632792895,0.21899126476449948,0.0,0.21899126476449948
central,2026,12,40757.4730609014,0.0,11667.2625526192,11667.2625526192,0.28626069469973087,0.0,0.28626069469973087
central,2027,1,57941.6837422967,0.0,13441.8957070706,13441.8957070706,0.2319900775899991,0.0,0.2319900775899991
central,2027,2,45966.6013665519,0.0,8524.22332564954,8524.22332564954,0.18544384557985366,0.0,0.18544384557985366
central,2027,3,45372.0939091335,0.0,12145.5288400961,12145.5288400961,0.26768720139784374,0.0,0.26768720139784374
central,2027,4,41218.0180375478,0.0,7675.49899923329,7675.49899923329,0.18621708089508934,0.0,0.18621708089508934
central,2027,5,37714.1299801733,0.0,4341.72700620193,4341.72700620193,0.11512202478181043,0.0,0.11512202478181043
central,2027,6,35583.8140358138,0.0,7483.74366937797,7483.74366937797,0.210313140177887,0.0,0.210313140177887
central,2027,7,38782.3918665371,0.0,8988.24934667474,8988.24934667474,0.23176108832086084,0.0,0.23176108832086084
central,2027,8,41903.0232747618,0.0,12325.724332507,12325.724332507,0.2941488076334288,0.0,0.2941488076334288
central,2027,9,48643.8704675765,0.0,11427.9617457182,11427.9617457182,0.2349311770603347,0.0,0.2349311770603347
central,2027,10,53643.0366038623,0.0,9170.39373658755,9170.39373658755,0.17095217417142416,0.0,0.17095217417142416
central,2027,11,49467.2438266903,0.0,9316.55065335236,9316.55065335236,0.18833777531639168,0.0,0.18833777531639168
central,2027,12,50912.8346379014,0.0,14721.9594649055,14721.9594649055,0.28916008251377007,0.0,0.28916008251377007
central,2028,1,57920.3892983785,0.0,11013.2821255743,11013.2821255743,0.19014516751327534,0.0,0.19014516751327534
central,2028,2,47302.3876803495,0.0,5069.34568177136,5069.34568177136,0.10716891747680811,0.0,0.10716891747680811
central,2028,3,45599.8950427263,0.0,7526.53219903631,7526.53219903631,0.16505591058891872,0.0,0.16505591058891872
central,2028,4,40764.9938260656,0.0,4244.51528540157,4244.51528540157,0.10412157312011117,0.0,0.10412157312011117
central,2028,5,37713.4951023786,0.0,2376.02292717161,2376.02292717161,0.06300192863911341,0.0,0.06300192863911341
central,2028,6,35655.591973504,0.0,6472.44332954783,6472.44332954783,0.18152673876113354,0.0,0.18152673876113354
central,2028,7,38809.6839260592,0.0,5037.66208933305,5037.66208933305,0.12980425449820412,0.0,0.12980425449820412
central,2028,8,42119.4814555757,0.0,9750.89620598852,9750.89620598852,0.23150560902021064,0.0,0.23150560902021064
central,2028,9,48766.022494118,0.0,8498.9391522626,8498.9391522626,0.17427993339599748,0.0,0.17427993339599748
central,2028,10,53733.5436863634,0.0,5917.62854428247,5917.62854428247,0.11012913235023167,0.0,0.11012913235023167
central,2028,11,49204.8812988831,0.0,7892.76656413754,7892.76656413754,0.1604061701967097,0.0,0.1604061701967097
central,2028,12,51115.4701427164,0.0,9948.69755502246,9948.69755502246,0.194631831170589,0.0,0.194631831170589
central,2029,1,57941.6837422967,0.0,10931.1700851047,10931.1700851047,0.18865813657957414,0.0,0.18865813657957414
central,2029,2,45966.6013665519,0.0,4570.94475143023,4570.94475143023,0.09944056370363566,0.0,0.09944056370363566
central,2029,3,45372.0939091335,0.0,7440.15749883816,7440.15749883816,0.16398091553232105,0.0,0.16398091553232105
central,2029,4,41218.0180375478,0.0,3658.43282349181,3658.43282349181,0.0887580965236887,0.0,0.0887580965236887
central,2029,5,37714.1299801733,0.0,2346.99183445435,2346.99183445435,0.06223110106711165,0.0,0.06223110106711165
central,2029,6,35583.8140358138,0.0,3369.82402418404,3369.82402418404,0.0947010351614483,0.0,0.0947010351614483
central,2029,7,38782.3918665371,0.0,3975.33646352476,3975.33646352476,0.10250364333394374,0.0,0.10250364333394374
central,2029,8,41903.0232747619,0.0,9004.50968271041,9004.50968271041,0.2148892604637863,0.0,0.2148892604637863
central,2029,9,48643.8704675765,0.0,9093.30291709363,9093.30291709363,0.1869362538319141,0.0,0.1869362538319141
central,2029,10,53643.0366038623,0.0,6599.27145308802,6599.27145308802,0.1230219590628632,0.0,0.1230219590628632
central,2029,11,49467.2438266903,0.0,6663.32997922803,6663.32997922803,0.13470186458281708,0.0,0.13470186458281708
central,2029,12,50912.8346379014,0.0,11135.1813991732,11135.1813991732,0.21871069403948998,0.0,0.21871069403948998
central,2030,1,57941.6837422967,0.0,9875.25894982641,9875.25894982641,0.17043444912211958,0.0,0.17043444912211958
central,2030,2,45966.6013665519,0.0,3995.6069637444,3995.6069637444,0.0869241328477212,0.0,0.0869241328477212
central,2030,3,45372.0939091335,0.0,4841.27900557737,4841.27900557737,0.10670168794221795,0.0,0.10670168794221795
central,2030,4,41218.0180375478,0.0,2232.89154556836,2232.89154556836,0.05417270533324271,0.0,0.05417270533324271
central,2030,5,37714.1299801733,0.0,1874.17096239937,1874.17096239937,0.049694132235972056,0.0,0.049694132235972056
central,2030,6,35583.8140358138,0.0,3246.84905976661,3246.84905976661,0.09124511095125373,0.0,0.09124511095125373
central,2030,7,38782.3918665371,0.0,3773.74096057638,3773.74096057638,0.09730552394919471,0.0,0.09730552394919471
central,2030,8,41903.0232747619,0.0,8869.25808551929,8869.25808551929,0.2116615316122363,0.0,0.2116615316122363
central,2030,9,48643.8704675765,0.0,8387.16598851579,8387.16598851579,0.17241979118635806,0.0,0.17241979118635806
central,2030,10,53643.0366038623,0.0,6062.83856809081,6062.83856809081,0.11302191210507061,0.0,0.11302191210507061
central,2030,11,49467.2438266903,0.0,7173.80481326588,7173.80481326588,0.14502131629567802,0.0,0.14502131629567802
central,2030,12,50912.8346379014,0.0,9564.17826591534,9564.17826591534,0.18785397304897677,0.0,0.18785397304897677
central,2031,1,57941.6837422967,686.668053972859,8914.88621988509,9601.55427385795,0.1657106534315111,0.011851020019143833,0.15385963341236725
central,2031,2,45966.6013665519,300.086597050323,2952.35369374868,3252.44029079901,0.07075659705321795,0.006528361639298491,0.06422823541391931
central,2031,3,45372.0939091335,185.81103676483,3382.44362424683,3568.25466101166,0.07864425803573863,0.004095271360782973,0.07454898667495566
central,2031,4,41218.0180375478,0.0,1272.88708471136,1272.88708471136,0.03088181201609005,0.0,0.03088181201609005
central,2031,5,37714.1299801733,0.0,1541.41773539182,1541.41773539182,0.04087109357161783,0.0,0.04087109357161783
central,2031,6,35583.8140358138,0.0,1778.55926481773,1778.55926481773,0.04998225493837383,0.0,0.04998225493837383
central,2031,7,38782.3918665371,0.0,2176.16233858807,2176.16233858807,0.056112122895280836,0.0,0.056112122895280836
central,2031,8,41903.0232747619,0.0,5400.60540837398,5400.60540837398,0.12888343098686994,0.0,0.12888343098686994
central,2031,9,48643.8704675765,295.406261578515,6543.66850465847,6839.07476623698,0.14059479026849964,0.006072836284181326,0.1345219539843184
central,2031,10,53643.0366038623,450.198332494541,5935.60490723406,6385.8032397286,0.11904253830531326,0.008392484113438996,0.11065005419187429
central,2031,11,49467.2438266903,243.785780031608,4847.31855011766,5091.10433014927,0.1029186980375555,0.004928226462054717,0.09799047157550075
central,2031,12,50912.8346379014,192.593662134064,7906.48863406725,8099.08229620132,0.1590774183720673,0.003782811613295838,0.15529460675877135
central,2032,1,57920.3892983785,541.993291740189,9385.11373956272,9927.10703130291,0.17139227052088932,0.009357556092174993,0.16203471442871428
central,2032,2,47302.3876803495,299.854303199001,2621.29577129909,2921.15007449809,0.061754812341356775,0.0063390944496353055,0.05541571789172149
central,2032,3,45599.8950427263,291.677043840109,3344.42960537624,3636.10664921635,0.07973936443953177,0.006396441122656373,0.07334292331687536
central,2032,4,40764.9938260656,0.0,1016.83775575653,1016.83775575653,0.024943895737973898,0.0,0.024943895737973898
central,2032,5,37713.4951023786,0.0,1300.57565898401,1300.57565898401,0.03448568358497175,0.0,0.03448568358497175
central,2032,6,35655.591973504,0.0,1963.14544227887,1963.14544227887,0.05505855697859964,0.0,0.05505855697859964
central,2032,7,38809.6839260592,0.0,2194.50832037752,2194.50832037752,0.056545379873707044,0.0,0.056545379873707044
central,2032,8,42119.4814555757,0.0,6030.29000229174,6030.29000229174,0.14317104090305607,0.0,0.14317104090305607
central,2032,9,48766.022494118,64.9951747576392,6248.85279823553,6313.84797299317,0.12947227700915584,0.0013327963084436242,0.12813948070071218
central,2032,10,53733.5436863634,389.521186422328,6300.63474066592,6690.15592708825,0.12450613654178348,0.00724912521489219,0.11725701132689126
central,2032,11,49204.8812988831,100.616800165223,6585.36757907721,6685.98437924243,0.13588051028169426,0.002044854037022276,0.13383565624467206
central,2032,12,51115.4701427164,214.350317734094,7894.02444078559,8108.37475851968,0.15862858613802788,0.00419345292404862,0.15443513321397934
central,2033,1,57941.6837422967,546.628608504807,9264.020696553,9810.64930505781,0.16931936856878324,0.00943411673944461,0.15988525182933855
central,2033,2,45966.601366552,453.078763209322,2705.08706126843,3158.16582447775,0.06870566303768147,0.009856694855387083,0.05884896818229442
central,2033,3,45372.0939091335,321.616482603129,2843.23160996511,3164.84809256824,0.06975318571160652,0.007088420544293789,0.0626647651673127
central,2033,4,41218.0180375478,0.0,1272.22857086633,1272.22857086633,0.030865835657293998,0.0,0.030865835657293998
central,2033,5,37714.1299801733,0.0,1051.14259250797,1051.14259250797,0.027871320193799152,0.0,0.027871320193799152
central,2033,6,35583.8140358138,0.0,2468.17102274965,2468.17102274965,0.06936218304944847,0.0,0.06936218304944847
central,2033,7,38782.3918665371,0.0,2207.77866651521,2207.77866651521,0.056927346670955684,0.0,0.056927346670955684
central,2033,8,41903.0232747619,0.0,6583.80789723431,6583.80789723431,0.15712011646662552,0.0,0.15712011646662552
